date,store_id,product_id,category,region,inventory_level,units_sold,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality
2022-01-01,0,0,3,1,231,127,33.5,20,1,0,29.69,0
2022-01-01,2,0,2,1,156,107,50.63,20,2,0,54.92,2
2022-01-01,1,0,4,1,294,210,17.16,10,0,1,21.13,0
2022-01-01,0,0,3,2,216,93,58.52,15,2,1,58.92,3
2022-01-01,4,0,2,1,57,49,15.5,20,2,1,19.5,3
2022-01-01,3,0,0,2,326,321,12.49,20,0,0,10.73,2
2022-01-01,2,0,1,2,154,81,73.28,15,0,0,70.54,2
2022-01-01,1,0,0,1,92,84,23.87,20,1,1,22.45,1
2022-01-01,0,0,1,2,415,38,52.49,5,0,0,48.25,0
2022-01-01,4,0,3,0,223,67,67.49,5,3,0,65.24,3
2022-01-01,3,0,1,1,144,22,74.16,15,1,0,69.74,0
2022-01-01,2,0,4,3,277,114,73.48,10,0,0,72.55,0
2022-01-01,1,0,1,3,402,343,66.57,20,1,1,63.92,2
2022-01-01,0,0,3,3,116,81,27.95,10,0,0,30.89,1
2022-01-01,4,0,4,1,486,287,17.43,20,2,1,18.87,1
2022-01-01,3,0,1,0,107,5,87.34,15,2,1,83.98,3
2022-01-01,2,0,1,3,405,251,62.17,5,2,0,63.96,1
2022-01-01,1,0,1,3,324,180,41.96,20,0,0,39.57,2
2022-01-01,0,0,3,2,256,191,81.28,20,0,0,81.53,0
2022-01-01,4,0,3,2,60,54,79.7,15,3,0,78.73,2
2022-01-01,3,0,0,3,270,96,37.46,15,2,1,34.18,1
2022-01-01,2,0,2,1,457,8,63.33,0,3,0,67.66,1
2022-01-01,3,0,4,3,97,59,35.6,20,1,1,31.61,1
2022-01-01,0,0,2,0,200,70,81.11,15,3,1,85.3,3
2022-01-01,1,0,4,1,290,129,21.56,15,1,1,25.71,2
2022-01-01,2,0,3,2,493,464,73.15,10,0,0,73.64,0
2022-01-01,4,0,2,2,316,98,86.52,20,0,0,90.68,2
2022-01-01,3,0,1,3,54,31,89.94,5,3,0,94.72,0
2022-01-01,2,0,3,0,277,54,97.14,5,1,0,93.07,0
2022-01-01,1,0,4,1,134,78,32.3,10,0,0,36.25,1
2022-01-01,0,0,1,3,252,141,87.87,0,0,0,90.51,1
2022-01-01,4,0,1,3,344,48,66.63,20,0,0,65.63,0
2022-01-01,3,0,1,2,238,1,69.78,0,1,0,65.14,2
2022-01-01,2,0,2,0,278,258,98.81,10,2,0,103.02,3
2022-01-01,1,0,1,2,124,5,20.52,15,0,1,17.74,0
2022-01-01,0,0,3,0,61,8,42.42,0,0,0,40.55,0
2022-01-01,1,0,1,0,342,52,51.12,10,0,0,55.51,1
2022-01-01,4,0,0,2,60,16,58.03,20,2,1,53.4,2
2022-01-01,2,0,3,3,101,14,72.69,0,2,1,71.5,3
2022-01-01,1,0,0,0,475,369,68.95,0,0,1,64.28,2
2022-01-01,0,0,0,3,386,385,98.99,10,2,1,96.79,1
2022-01-01,4,0,1,1,327,117,21.47,5,2,1,21.48,3
2022-01-01,3,0,2,1,240,112,86.05,15,3,0,84.53,1
2022-01-01,2,0,0,3,324,12,75.29,20,0,0,76.09,2
2022-01-01,1,0,4,2,307,113,56.68,0,3,0,51.79,2
2022-01-01,0,0,4,0,193,1,37.57,0,1,1,37.35,0
2022-01-01,4,0,1,1,210,10,71.74,20,1,0,69.12,2
2022-01-01,3,0,4,3,191,178,26.61,10,2,1,28.11,2
2022-01-01,3,0,2,2,342,226,39.57,20,3,0,41.32,1
2022-01-01,0,0,3,2,187,171,67.35,15,1,1,64.22,3
2022-01-01,4,0,3,3,225,198,73.98,20,1,0,76.32,0
2022-01-01,3,0,2,1,189,120,82.64,5,2,1,79.25,2
2022-01-01,2,0,2,0,297,61,24.06,5,2,1,26.55,1
2022-01-01,1,0,0,1,204,1,22.08,10,3,0,22.05,3
2022-01-01,0,0,1,0,125,0,36.91,10,0,0,37.85,1
2022-01-01,4,0,2,1,463,126,79.88,15,1,0,78.23,0
2022-01-01,3,0,1,2,64,10,14.05,20,2,1,16.66,0
2022-01-01,2,0,0,1,450,202,24.01,20,1,1,27.05,1
2022-01-01,1,0,3,2,372,150,62.88,10,3,0,65.21,0
2022-01-01,0,0,2,3,215,101,44.62,0,0,1,43.36,2
2022-01-01,4,0,2,0,263,105,44.78,15,2,0,43.44,3
2022-01-01,2,0,3,1,408,4,33.36,15,1,1,28.93,2
2022-01-01,3,0,2,2,103,82,42.97,5,2,1,45.96,2
2022-01-01,1,0,3,0,176,114,82.04,5,1,1,78.76,1
2022-01-01,4,0,0,3,160,139,20.47,20,0,0,17.42,1
2022-01-01,3,0,4,2,333,170,42.61,5,1,0,46.76,1
2022-01-01,2,0,1,0,482,428,16.94,10,3,1,13.74,1
2022-01-01,1,0,2,0,109,99,66.34,15,0,1,71.16,3
2022-01-01,0,0,3,0,419,279,34.49,0,3,0,33.85,2
2022-01-01,4,0,4,3,111,77,70.33,10,0,0,70.29,3
2022-01-01,3,0,4,2,477,271,15.62,15,3,0,16.09,3
2022-01-01,2,0,4,2,241,147,67.21,5,3,1,67.39,2
2022-01-01,1,0,3,2,343,104,32.8,20,3,1,30.78,1
2022-01-01,4,0,0,2,196,136,30.13,10,3,1,33.77,1
2022-01-01,0,0,4,1,263,28,15.95,5,2,0,13.91,3
2022-01-01,4,0,0,0,112,10,85.46,0,1,1,86.18,2
2022-01-01,3,0,3,1,222,219,86.75,20,1,1,85.88,2
2022-01-01,2,0,0,2,465,383,83.66,15,1,1,79.56,3
2022-01-01,0,0,4,1,461,198,11.52,15,1,1,8.27,1
2022-01-01,1,0,0,2,490,414,64.96,15,1,0,62.34,3
2022-01-01,0,0,0,3,212,201,58.74,10,2,0,62.94,3
2022-01-01,4,0,0,1,171,99,29.3,20,0,0,30.54,1
2022-01-01,3,0,0,1,179,92,62.85,5,2,1,58.8,0
2022-01-01,2,0,1,2,375,186,30.77,0,3,0,28.34,0
2022-01-01,1,0,2,3,267,79,58.44,20,2,0,54.46,0
2022-01-01,4,0,4,3,256,242,58.1,20,0,1,57.12,1
2022-01-01,3,0,0,2,77,64,92.2,10,0,1,91.86,2
2022-01-01,2,0,2,2,150,140,73.05,10,0,0,71.71,0
2022-01-01,1,0,4,2,276,76,49.98,15,1,1,54.28,2
2022-01-01,0,0,1,2,61,17,50.89,15,2,1,47.53,0
2022-01-01,1,0,3,2,414,261,73.56,5,3,0,74.19,3
2022-01-01,4,0,2,3,249,238,47.2,20,2,1,43.29,3
2022-01-01,3,0,0,3,267,242,77.96,20,1,1,82.64,0
2022-01-01,2,0,4,1,354,192,15.22,0,3,0,12.31,0
2022-01-01,1,0,2,2,97,25,87.5,20,2,0,87.87,3
2022-01-01,0,0,0,2,372,35,43.74,0,3,0,39.82,0
2022-01-01,4,0,0,3,330,105,55.95,15,3,1,60.06,1
2022-01-01,3,0,2,2,156,49,88.38,5,0,0,84.1,0
2022-01-01,2,0,4,0,314,297,42.74,15,1,1,44.19,3
2022-01-01,0,0,2,3,73,67,28.22,15,1,1,29.58,1
2022-01-02,0,0,1,1,139,125,87.39,5,1,1,85.33,0
2022-01-02,1,0,4,1,449,203,68.63,10,3,1,67.31,0
2022-01-02,2,0,0,0,207,187,67.81,15,1,0,70.47,1
2022-01-02,3,0,2,3,124,117,19.92,10,3,0,15.13,2
2022-01-02,3,0,0,1,133,19,78.46,15,1,0,80.07,2
2022-01-02,0,0,1,2,341,179,47.34,5,2,0,42.41,1
2022-01-02,1,0,2,1,474,227,96.43,20,3,1,99.48,2
2022-01-02,2,0,3,2,400,175,16.62,20,1,0,11.93,0
2022-01-02,4,0,2,2,336,11,32.36,15,3,0,32.92,1
2022-01-02,4,0,3,1,231,74,18.37,15,0,0,15.23,3
2022-01-02,3,0,2,1,483,42,54.36,20,1,0,58.53,2
2022-01-02,2,0,0,3,302,246,96.27,5,0,0,93.92,1
2022-01-02,1,0,0,1,409,222,48.8,5,3,0,44.54,1
2022-01-02,0,0,0,0,179,153,13.1,0,3,0,16.11,1
2022-01-02,4,0,0,3,391,175,46.83,0,1,1,51.7,2
2022-01-02,3,0,3,1,271,12,12.28,10,1,0,9.95,0
2022-01-02,2,0,0,1,199,74,34.9,5,2,0,38.65,3
2022-01-02,1,0,4,2,114,12,32.88,0,1,1,34.64,3
2022-01-02,0,0,0,0,329,224,25.2,20,2,1,22.86,0
2022-01-02,4,0,3,2,411,116,57.76,10,0,1,58.18,2
2022-01-02,3,0,2,1,262,96,11.7,15,2,0,11.03,3
2022-01-02,4,0,3,0,307,234,48.89,20,2,1,49.22,3
2022-01-02,2,0,2,2,121,78,31.43,15,2,0,26.86,3
2022-01-02,0,0,3,1,186,7,26.42,20,0,0,29.98,0
2022-01-02,4,0,4,1,435,381,98.78,20,3,1,97.49,1
2022-01-02,2,0,0,2,448,370,71.05,0,1,0,70.4,1
2022-01-02,1,0,3,3,367,217,15.2,10,0,1,15.04,1
2022-01-02,3,0,0,2,179,145,98.48,15,2,0,99.82,3
2022-01-02,2,0,1,0,112,35,75.04,0,3,0,71.2,0
2022-01-02,1,0,2,3,466,79,95.76,5,3,1,95.05,2
2022-01-02,0,0,2,1,70,54,70.04,10,3,1,74.56,2
2022-01-02,4,0,3,1,493,468,20.58,15,3,1,17.27,0
2022-01-02,3,0,4,0,137,131,71.07,10,2,0,70.87,2
2022-01-02,2,0,0,3,469,2,36.67,20,0,0,40.41,1
2022-01-02,1,0,1,0,260,110,24.19,20,1,0,25.54,1
2022-01-02,0,0,4,2,338,284,33.06,15,2,0,34.47,0
2022-01-02,1,0,3,2,290,53,59.33,10,0,1,57.55,3
2022-01-02,4,0,1,1,191,173,16.35,0,2,1,17.8,0
2022-01-02,2,0,0,2,227,60,96.69,20,3,1,98.76,0
2022-01-02,1,0,4,3,183,109,18.54,0,1,1,15.1,2
2022-01-02,0,0,2,2,121,25,16.84,15,0,0,12.53,0
2022-01-02,4,0,2,1,383,195,21.71,20,1,0,24.12,3
2022-01-02,3,0,2,2,487,145,20.39,15,3,0,21.17,2
2022-01-02,2,0,2,2,335,271,81.01,20,1,0,83.63,2
2022-01-02,1,0,0,1,108,83,45.49,5,3,1,44.33,1
2022-01-02,0,0,3,2,85,58,77.88,15,0,1,75.99,3
2022-01-02,4,0,0,2,193,31,45.37,10,2,0,47.53,1
2022-01-02,3,0,3,3,297,242,90.84,15,2,0,93.99,0
2022-01-02,3,0,0,1,387,341,81.45,15,1,0,77.35,1
2022-01-02,0,0,2,2,149,92,79.84,0,1,1,78.34,1
2022-01-02,4,0,3,1,159,3,36.3,0,2,0,34.96,3
2022-01-02,3,0,0,0,137,76,63.78,20,2,1,61.91,1
2022-01-02,1,0,4,1,405,96,48.08,0,1,1,49.4,0
2022-01-02,0,0,1,3,154,5,62.7,20,1,0,58.22,3
2022-01-02,4,0,4,0,423,377,91.11,0,1,0,94.67,0
2022-01-02,3,0,0,3,155,33,39.06,0,1,0,37.29,2
2022-01-02,2,0,4,1,271,210,41.79,0,0,0,46.41,2
2022-01-02,1,0,0,2,193,149,44.15,10,2,0,47.77,3
2022-01-02,0,0,4,2,395,289,48.82,10,0,1,52.69,3
2022-01-02,4,0,2,1,126,55,87.01,15,0,0,89.18,1
2022-01-02,3,0,3,2,366,22,44.25,0,2,0,46.28,2
2022-01-02,2,0,4,2,109,0,24.08,0,0,0,20.51,1
2022-01-02,2,0,0,1,134,100,82.88,10,3,1,86.74,0
2022-01-02,1,0,3,0,447,102,66.53,0,1,1,69.45,0
2022-01-02,4,0,4,2,118,26,23.88,0,2,0,25.39,2
2022-01-02,3,0,3,0,352,118,96.24,5,1,0,95.13,2
2022-01-02,2,0,1,2,276,221,35.66,15,0,1,34.68,2
2022-01-02,1,0,2,3,226,179,25.39,5,3,1,20.67,3
2022-01-02,0,0,2,2,361,336,79.35,20,2,0,79.48,1
2022-01-02,4,0,2,1,197,180,33.58,15,1,1,37.36,0
2022-01-02,3,0,3,0,452,418,70.99,10,2,0,68.19,3
2022-01-02,2,0,4,1,336,172,69.84,10,3,0,70.4,0
2022-01-02,1,0,1,2,60,29,30.21,15,1,1,28.31,3
2022-01-02,4,0,4,0,432,22,36.48,20,2,1,40.07,1
2022-01-02,0,0,4,2,414,136,55.6,5,3,1,52.77,0
2022-01-02,3,0,3,0,175,66,83.63,15,3,0,79.9,2
2022-01-02,0,0,0,3,157,155,38.87,0,1,0,37.89,2
2022-01-02,0,0,0,2,345,71,27.71,20,1,1,28.96,3
2022-01-02,1,0,2,1,323,229,44.48,0,1,0,42.0,2
2022-01-02,0,0,0,1,53,25,54.62,10,1,0,58.21,3
2022-01-02,4,0,4,3,483,362,30.84,5,3,0,35.6,2
2022-01-02,3,0,0,1,401,221,25.06,10,1,1,21.89,3
2022-01-02,2,0,1,0,92,3,28.15,5,3,1,23.58,0
2022-01-02,1,0,4,2,109,89,19.85,10,2,0,18.14,0
2022-01-02,0,0,4,0,231,18,47.42,20,3,1,50.88,3
2022-01-02,4,0,0,2,122,81,46.5,5,3,1,47.15,1
2022-01-02,3,0,0,0,429,24,12.34,5,1,0,15.91,1
2022-01-02,2,0,2,1,140,106,34.88,0,2,1,39.28,2
2022-01-02,2,0,4,2,423,2,66.18,15,1,0,66.93,2
2022-01-02,0,0,4,2,208,32,51.04,15,2,0,51.16,2
2022-01-02,4,0,4,2,286,124,49.83,20,2,1,48.9,1
2022-01-02,3,0,2,0,272,173,19.05,5,0,0,23.51,0
2022-01-02,2,0,0,2,303,132,32.26,20,0,0,32.71,1
2022-01-02,1,0,4,1,164,60,55.29,0,0,1,56.32,1
2022-01-02,0,0,4,2,304,36,14.01,0,2,1,12.87,0
2022-01-02,4,0,3,0,203,195,73.01,10,2,0,68.02,1
2022-01-02,3,0,4,3,58,14,97.63,20,0,0,102.03,3
2022-01-02,2,0,1,0,433,167,95.64,15,0,1,99.39,2
2022-01-02,1,0,1,0,128,13,70.8,10,1,0,75.6,1
2022-01-02,1,0,3,2,239,6,55.46,0,3,0,55.48,0
2022-01-03,0,0,3,3,265,164,84.43,15,3,0,80.65,2
2022-01-03,1,0,1,1,348,250,53.23,20,0,0,50.85,1
2022-01-03,2,0,0,2,266,174,46.24,10,1,0,49.4,2
2022-01-03,2,0,0,1,230,24,81.37,15,2,0,82.11,2
2022-01-03,4,0,4,0,75,25,34.97,10,3,1,31.39,0
2022-01-03,0,0,4,1,104,75,81.22,10,2,1,84.72,2
2022-01-03,1,0,3,0,116,92,17.68,5,1,1,12.76,2
2022-01-03,4,0,2,0,415,306,74.04,10,2,1,70.38,2
2022-01-03,3,0,3,2,148,18,60.98,15,1,1,62.14,3
2022-01-03,3,0,4,1,445,202,90.57,10,1,0,94.16,1
2022-01-03,2,0,1,1,75,71,28.51,10,1,0,29.11,3
2022-01-03,1,0,1,0,327,137,34.83,20,1,1,36.61,3
2022-01-03,0,0,4,2,252,49,21.29,20,1,0,23.42,0
2022-01-03,4,0,0,2,420,93,12.02,20,3,0,13.38,0
2022-01-03,3,0,3,2,179,175,25.29,0,3,1,24.73,0
2022-01-03,1,0,4,2,327,101,14.44,20,3,1,17.98,2
2022-01-03,0,0,3,0,309,165,90.24,10,2,0,94.06,3
2022-01-03,4,0,4,0,466,406,80.22,5,1,1,77.94,3
2022-01-03,3,0,1,1,486,423,18.28,15,3,1,21.97,2
2022-01-03,2,0,2,3,248,64,91.23,20,2,0,87.67,1
2022-01-03,3,0,3,1,153,65,15.75,15,3,1,12.05,1
2022-01-03,2,0,2,2,195,41,12.91,20,1,1,10.44,3
2022-01-03,0,0,1,1,427,27,87.72,10,2,1,83.51,0
2022-01-03,2,0,3,3,155,101,33.13,0,3,1,37.65,2
2022-01-03,2,0,2,0,370,187,75.27,20,2,1,78.36,1
2022-01-03,4,0,2,0,403,177,31.77,20,0,0,35.33,1
2022-01-03,3,0,3,1,251,170,75.95,0,0,1,77.56,2
2022-01-03,2,0,4,0,383,351,23.15,20,2,0,26.78,0
2022-01-03,1,0,4,3,486,331,68.4,10,1,0,72.14,1
2022-01-03,0,0,1,2,174,6,52.57,10,2,1,50.77,1
2022-01-03,4,0,4,0,293,139,49.0,0,3,1,50.97,1
2022-01-03,3,0,0,0,93,18,92.83,10,0,0,97.52,2
2022-01-03,2,0,3,3,364,7,68.56,5,3,0,64.8,3
2022-01-03,1,0,3,3,420,324,19.98,10,0,0,15.1,1
2022-01-03,0,0,1,0,386,305,68.07,15,0,0,71.62,1
2022-01-03,1,0,2,0,54,6,70.76,10,2,1,69.03,2
2022-01-03,4,0,1,1,184,3,58.26,20,3,0,61.94,2
